Game Title,Units Sold (millions),Series,Platform(s),Initial release date,Developer(s)[b],Publisher(s)[b]
Minecraft,350000000,Minecraft,Multi-platform,"November 18, 2011[c]",Mojang Studios,Mojang Studios / Xbox Game Studios
Grand Theft Auto V,215000000,Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games
Wii Sports,82900000,Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo
Ark: Survival Evolved,79045000,Ark,Multi-platform,"August 29, 2017",Studio Wildcard,Studio Wildcard
Mario Kart 8 / Deluxe,76660000,Mario Kart,Wii U / Switch,"May 29, 2014",Nintendo EAD / Nintendo EPD (Deluxe),Nintendo
Pokémon Red / Blue / Yellow,76140000,Pokémon,Multi-platform,"February 27, 1996",Game Freak,Nintendo
PUBG: Battlegrounds,75000000,PUBG Universe,Multi-platform,"December 20, 2017",PUBG Studios,Krafton
Red Dead Redemption 2,74000000,Red Dead,Multi-platform,"October 26, 2018",Rockstar Games,Rockstar Games
The Sims,70000000,The Sims,Multi-platform,"February 4, 2000",Maxis,Electronic Arts
The Oregon Trail,65000000,The Oregon Trail,Multi-platform,"December 3, 1971",Don Rawitsch Bill Heinemann Paul Dillenberger,MECC
Terraria,64000000,Terraria,Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games
Super Mario Bros.,58000000,Super Mario,Multi-platform,"September 13, 1985",Nintendo R&D4,Nintendo
Human: Fall Flat,55000000,Human: Fall Flat,Multi-platform,"July 22, 2016",No Brakes Games,Curve Digital
Bejeweled,50000000,Bejeweled,Multi-platform,2000,PopCap Games,PopCap Games
Overwatch,50000000,Overwatch,Multi-platform,"May 24, 2016",Blizzard Entertainment,Blizzard Entertainment
The Witcher 3: Wild Hunt,50000000,The Witcher,Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt
Animal Crossing: New Horizons,47820000,Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo
Wii Fit / Plus,43800000,Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo
Call of Duty: Black Ops III,43000000,Call of Duty,Multi-platform,"November 6, 2015",Treyarch,Activision
Call of Duty: Modern Warfare,41000000,Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision
Stardew Valley,41000000,Stardew Valley,Multi-platform,"February 26, 2016",ConcernedApe,Chucklefish / ConcernedApe
World of Warcraft,40600000,Warcraft,PC,"November 23, 2004",Blizzard Entertainment,Blizzard Entertainment
Payday 2,40000000,Payday,Multi-platform,"August 13, 2013",Overkill Software,505 Games
Sonic the Hedgehog,40000000,Sonic the Hedgehog,Multi-platform,"June 23, 1991",Sonic Team,Sega
The Elder Scrolls V: Skyrim,40000000,The Elder Scrolls,Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks
Mario Kart Wii,37380000,Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo
Super Smash Bros. Ultimate,36240000,Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo
The Sims 4,36000000,The Sims,Multi-platform,"September 2, 2014",Maxis,Electronic Arts
Tetris (Game Boy),35000000,Tetris,Game Boy,"June 14, 1989",Nintendo R&D1,Nintendo
The Legend of Zelda: Breath of the Wild,34510000,The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo
Hogwarts Legacy,34000000,Wizarding World,Multi-platform,"February 10, 2023",Avalanche Software,Warner Bros. Games
Wii Sports Resort,33140000,Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo
Call of Duty: Black Ops II,31000000,Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision
New Super Mario Bros.,30800000,Super Mario,Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo
Call of Duty: Black Ops,30720000,Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision
Call of Duty: Modern Warfare 3,30710000,Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision
New Super Mario Bros. Wii,30320000,Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo
Pokémon Gold / Silver / Crystal,30120000,Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo
Black Myth: Wukong,30000000,Black Myth: Wukong,Multi-platform,"August 20, 2024",Game Science,Game Science
Borderlands 2,30000000,Borderlands,Multi-platform,"September 18, 2012",Gearbox Software,2K Games
Call of Duty: Black Ops Cold War,30000000,Call of Duty,Multi-platform,"November 13, 2020",Treyarch / Raven Software,Activision
Call of Duty: Vanguard,30000000,Call of Duty,Multi-platform,"November 5, 2021",Sledgehammer Games,Activision
Cyberpunk 2077,30000000,Cyberpunk,Multi-platform,"December 10, 2020",CD Projekt Red,CD Projekt
Diablo III,30000000,Diablo,Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment
Elden Ring,30000000,Elden Ring,Multi-platform,"February 25, 2022",FromSoftware,Bandai Namco
Super Mario Odyssey,29280000,Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo
Call of Duty: Ghosts,28980000,Call of Duty,Multi-platform,"November 5, 2013",Infinity Ward,Activision
Monster Hunter: World,28510000,Monster Hunter,Multi-platform,"January 26, 2018",Capcom,Capcom
Duck Hunt,28300000,Duck Hunt,Famicom / NES,"April 21, 1984",Nintendo R&D1,Nintendo
Wii Play,28020000,Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo
